variable,low,high,district
yALFAL,0.7,1,All
yALPIS,0.7,1,All
yCORN,0.7,1,All
yCOTTN,0.7,1,All
yCUCUR,0.7,1,All
yDRYBN,0.7,1,All
yFRTOM,0.7,1,All
yGRAIN,0.7,1,All
yONGAR,0.7,1,All
yOTHDEC,0.7,1,All
yOTHFLD,0.7,1,All
yOTHTRK,0.7,1,All
yPASTR,0.7,1,All
yPRTOM,0.7,1,All
ySAFLR,0.7,1,All
ySUBTROP,0.7,1,All
yVINE,0.7,1,All
omegaelec,0.13,0.37,All
pALFAL,118.509911119044,272.650509016206,Semi
pALPIS,2046.01769690092,8122.70363647485,Semi
pCORN,23.0128841397122,67.7962083845627,Semi
pCOTTN,1789.80900516795,4045.90970937781,Semi
pCUCUR,101.762436138357,644.287188291278,Semi
pDRYBN,647.07572958404,1126.67550617505,Semi
pFRTOM,333.429583596389,818.181103654527,Semi
pGRAIN,143.635240979551,302.928002750599,Semi
pONGAR,127.67422022717,516.535376042013,Semi
pOTHDEC,554.23031998671,2024.76548934918,Semi
pOTHFLD,20.9943744126532,52.66496761541,Semi
pOTHTRK,266.803508160801,723.993290040433,Semi
pPASTR,600,600,Semi
pPRTOM,62.8689585577418,93.3784590775206,Semi
pSAFLR,240.702954062758,594.927427273626,Semi
pSUBTROP,452.485959855499,757.477421060104,Semi
pVINE,957.237527353178,1866.5309183231,Semi
swdry,90.4,135.6,Semi
swwet,65.6,98.64,Semi
swnormal,65.6,98.64,Semi
